pair_id,model_a,model_b,size_a,size_b,t_semantic,t_structural,t_behavioral,t_total,behavioral_timed_out_a,behavioral_timed_out_b,structural_overall,behavioral_score,error
53_90,model_54,model_91,8,8,0.007480416010366753,7.054099114611745e-05,0.001059083006111905,0.008610749995568767,False,False,0.11666666666666664,0.0,
53_91,model_54,model_92,8,11,0.007912957982625812,8.204099140129983e-05,0.0010154579940717667,0.009011082991492003,False,False,0.11944444444444444,0.0,
53_92,model_54,model_93,8,10,0.009172249992843717,8.541700663045049e-05,0.0013914999726694077,0.010649874981027097,False,False,0.17222222222222222,0.0,
53_93,model_54,model_94,8,9,0.007114499981980771,7.708399789407849e-05,0.0010255000088363886,0.008217791997594759,False,False,0.04,0.0,
53_94,model_54,model_95,8,5,0.005004584003472701,6.504199700430036e-05,0.0007827089866623282,0.005853083013789728,False,False,0.05833333333333332,0.0,
53_95,model_54,model_96,8,8,0.006441500008804724,7.608399027958512e-05,0.0009526250069029629,0.007470999989891425,False,False,0.09999999999999999,0.0,
53_96,model_54,model_97,8,27,0.019932666007662192,0.00015112498658709228,0.004015875019831583,0.024100499984342605,False,False,0.08525592055003818,0.0,
53_97,model_54,model_98,8,30,0.02565779199358076,0.00016266698366962373,0.0038213749940041453,0.029642582987435162,False,False,0.175209763539283,0.0,
53_98,model_54,model_99,8,5,0.005946124991169199,6.0583988670259714e-05,0.0006597500178031623,0.006667250010650605,False,False,0.11785714285714285,0.0,
53_99,model_54,model_100,8,18,0.015018042002338916,0.00010316699626855552,16.5781133340206,16.59323695799685,False,False,0.17435897435897435,0.0,
53_100,model_54,model_101,8,6,0.010680500010494143,7.987499702721834e-05,0.0009412500075995922,0.011702499992679805,False,False,0.10666666666666667,0.0,
53_101,model_54,model_102,8,31,0.03075595901464112,0.00018787500448524952,0.006765415979316458,0.03771016598329879,False,False,0.08212454212454211,0.0,
53_102,model_54,model_103,8,14,0.01827312499517575,9.600000339560211e-05,0.0017250000091735274,0.02009495801758021,False,False,0.11615384615384615,0.0,
53_103,model_54,model_104,8,6,0.008850959013216197,6.958399899303913e-05,0.0007685000018682331,0.009689749975223094,False,False,0.09999999999999999,0.0,
53_104,model_54,model_105,8,13,0.01426458399510011,9.675000910647213e-05,0.0016675420047249645,0.016029749996960163,False,False,0.11136363636363637,0.0,
53_105,model_54,model_106,8,9,0.01138212499790825,8.441600948572159e-05,0.0010676249803509563,0.012534874986158684,False,False,0.14444444444444443,0.0,
53_106,model_54,model_107,8,6,0.009606791980331764,7.104201358743012e-05,0.0007867499953135848,0.010465375002240762,False,False,0.09999999999999999,0.0,
53_107,model_54,model_108,8,6,0.0065119999926537275,7.258300320245326e-05,0.0009912080131471157,0.007576500007417053,False,False,0.2076190476190476,0.0,
53_108,model_54,model_109,8,18,0.020426667004358023,0.00013029100955463946,0.0030308330024126917,0.02358854201156646,False,False,0.15428571428571428,0.0,
53_109,model_54,model_110,8,17,0.011094124987721443,0.00013475000741891563,0.004318374994909391,0.01554799999576062,False,False,0.09807692307692308,0.0,
53_110,model_54,model_111,8,14,0.015450541977770627,0.00010587499127723277,0.0019497920002322644,0.017507042008219287,False,False,0.17500000000000002,0.0,
53_111,model_54,model_112,8,8,0.00862149999011308,8.512500789947808e-05,0.0009818749967962503,0.00968937500147149,False,False,0.22750000000000004,0.0,
53_112,model_54,model_113,8,14,0.015851125004701316,0.00010862501221708953,0.0019280829874332994,0.017888791975565255,False,False,0.28287878787878784,0.0,
53_113,model_54,model_114,8,17,0.021457708004163578,0.00012354200589470565,0.0023331659904215485,0.023915333003969863,False,False,0.12666666666666668,0.0,
53_114,model_54,model_115,8,8,0.007641874981345609,8.845797856338322e-05,0.0010753750102594495,0.008806500001810491,False,False,0.20416666666666666,0.0,
53_115,model_54,model_116,8,31,0.03733062499668449,0.0001964579860214144,0.016474207979626954,0.05400212499080226,False,False,0.08390804597701149,0.0,
53_116,model_54,model_117,8,19,0.016989791009109467,0.00011354198795743287,0.017792041995562613,0.034896208002464846,False,False,0.06952380952380952,0.0,
